路線系統ID,站點ID,站點名稱,英文標示,站點描述,站點圖片,是否為轉乘點,轉乘資訊,徒步指引,GoogleMap連結
n_coast,07,馬崗福德廟,Stop 7,台灣極東的漁村落。,,TRUE,公車撤退點,馬崗潮間帶,
n_coast,08,蓬萊街福德廟,Stop 8,持續沿著海岸線邁進。,,FALSE,,,
n_coast,09,石城漁港福德廟,Stop 9,看見龜山島的絕佳視野。,,FALSE,,,
n_coast,10,石城火車站,End,🏁 抵達終點。台灣最東端的車站。,,TRUE,"台鐵,完成路線",,
n_shulin,01,東陽福德宮,Stop 1,路線起點。,,FALSE,,,
n_shulin,02,東昇福德宮,Stop 2,市街中的庇護。,,FALSE,,,
n_shulin,03,育林大安福德宮,Stop 3,守護學子與鄉里的土地公。,,FALSE,,,
n_shulin,04,樹林坡內永興宮,Stop 4,香火鼎盛的地方信仰。,,FALSE,,,
n_shulin,05,大安福德宮,Stop 5,大安路上的祈福點。,,FALSE,,,
n_shulin,06,樹林樹人宮,Stop 6,與在地教育機構比鄰。,,FALSE,,,
n_shulin,07,大安路福安宮,Stop 7,樹人家商附近。,,FALSE,,,
n_shulin,08,樹西福德宮,Stop 8,守護樹林西側的居民。,,FALSE,,,
n_shulin,09,崁頂福德宮,Stop 9,地形微幅變化的交界處。,,FALSE,,,
n_shulin,10,潭底福德宮,Stop 10,見證過往水文歷史。,,FALSE,,,
n_shulin,11,樹德宮,End,🏁 抵達終點。福德圓滿。,,TRUE,完成路線,,
c_tianzhong,00,田中車站,Start,起點 (田中鎮中州路一段1號)。集結出發。,,TRUE,台鐵,前往下一站：需步行 13 分鐘,
c_tianzhong,01,乾福宮,Stop 1,田中鎮明慶街6號。,,FALSE,,前往下一站：需步行 10 分鐘,https://maps.app.goo.gl/KyUguVg74NfWJ1TFA
c_tianzhong,02,福德宮,Stop 2,田中鎮和平路764號。,,FALSE,,前往下一站：需步行 28 分鐘,https://maps.app.goo.gl/ENU1iEZcq5L9vbVJ6
c_tianzhong,03,田中福天宮(土地公廟),Stop 3,位於田中鎮內，感受小鎮風情。,,FALSE,,前往下一站：需步行 16 分鐘,
c_tianzhong,04,埤斗村福德宮,Stop 4,跨入社頭鄉界 (清興路31之15號)。,,FALSE,,前往下一站：需步行 9 分鐘,https://maps.app.goo.gl/duiYFWZkdqNpqUxD6
c_tianzhong,05,福安宮,Stop 5,社頭鄉鴻門巷，周邊農田風光。,,FALSE,,前往下一站：需步行 22 分鐘,
c_tianzhong,06,舊社福德宮,Stop 6,社頭鄉東平巷1號，寧靜的村落。,,FALSE,,前往下一站：需步行 13 分鐘,
c_tianzhong,07,社頭公有零售市場,Stop 7,社頭鄉社斗路一段118號。可在此補給在地美食。,,FALSE,,前往下一站：需步行 2 分鐘,
c_tianzhong,08,福德祀,End,🏁 抵達終點 (社頭鄉員集路二段168號)。圓滿結伴而行。,,TRUE,完成路線,,
s_coming,01,路線籌備中,Coming Soon,更多美好路線即將上線，讓祝福繼續在土地上結果。,,FALSE,,,
n_xizhi,01,和平宮,Start,221新北市汐止區和平街6巷3弄2號。起點。,,FALSE,,前往下一站：400m 步行約 6 分鐘,
n_xizhi,02,新福宮,Stop 1,221新北市汐止區忠孝東路419-1號。,,FALSE,,前往下一站：450m 步行約 7 分鐘,
n_xizhi,03,虎形山福德宮,Stop 2,221新北市汐止區招商街1號。,,FALSE,,前往下一站：800m 步行約 11 分鐘,
n_xizhi,04,福安宮,Stop 3,221新北市汐止區福安街53-1號。,,FALSE,,前往下一站：1.1公里 步行約 18 分鐘,
n_xizhi,05,秀德宮,Stop 4,221新北市汐止區勤進路80號。,,FALSE,,前往下一站：2.3公里 步行約 36 分鐘,
n_xizhi,06,福德宮,Stop 5,221新北市汐止區汐碇路84號。,,FALSE,,前往下一站：1.2公里 步行約 15 分鐘,
n_xizhi,07,福興宮,Stop 6,221新北市汐止區南興路83巷15號。,,FALSE,,前往下一站：850m 步行約 12 分鐘,
n_xizhi,08,下寮福安宮,Stop 7,221新北市汐止區大同路二段169巷40之1號。,,FALSE,,前往下一站：900m 步行約 13 分鐘,
n_xizhi,09,石橋頭福龍宮,Stop 8,221新北市汐止區水源路一段71號。,,FALSE,,前往下一站：300m 步行約 4 分鐘,
n_xizhi,10,汐止秀豐黄昏市場,End,🏁 抵達終點 (221新北市汐止區火車站橋下)。感受在地市集活力。,,TRUE,完成路線,,
n_jinshui,01,隔頂停車場,Start,新北市瑞芳區金瓜石隔頂。公車越過九份隔頂之後的第二站：金瓜橋頭；此為起點。,,TRUE,公車,前往下一站：300m 步行約 5 分鐘,
n_jinshui,02,福安宮,Stop 1,新北市瑞芳區金瓜石新山里。笑容親切的石造土地公。,,FALSE,,前往下一站：500m 步行約 8 分鐘,
n_jinshui,03,慶福宮,Stop 2,新北市瑞芳區金瓜石石山里。原名：九份路頭土地公廟。,,FALSE,,前往下一站：900m 步行約 15 分鐘,
n_jinshui,04,金福宮,Stop 3,新北市瑞芳區瓜山國小大操場旁。百年扶鸞濟世，讓地興學的土地公；途經時雨中學、五號路。,,FALSE,,前往下一站：2060m 步行約 35 分鐘,
n_jinshui,05,福興宮,Stop 4,新北市瑞芳區內外九份溪交會處。原名：雞籠山腳下的土地公廟；途經水管路、三層橋、山尖路。,,FALSE,,前往下一站：1640m 步行約 25 分鐘,
n_jinshui,06,濂福宮,Stop 5,新北市瑞芳區水湳洞後崙仔聚落。濂洞國小下方需穿過小隧道；途經浪漫公路。,,FALSE,,前往下一站：910m 步行約 15 分鐘,
n_jinshui,07,福濂宮,End,🏁 抵達終點 (新北市瑞芳區水湳洞濱海公路旁)。威遠廟左側轉入小徑，守護陰陽交界的土地公；途經彩虹階梯、威遠廟。,,TRUE,完成路線,,
